timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-05-06 15:57:24.162,0.39,0.66,1.0,1.0,0.49,0.66,1.0,1.0,0.43,0.88,0.38,0.0,0.46,0.87,0.54,0.0,-1
2025-05-06 15:57:24.254,0.39,0.65,1.0,1.0,0.5,0.65,1.0,1.0,0.43,0.88,0.44,0.0,0.48,0.86,0.57,0.0,-1
2025-05-06 15:57:24.330,0.39,0.63,1.0,1.0,0.5,0.64,1.0,1.0,0.43,0.87,0.49,0.0,0.48,0.85,0.59,0.0,-1
2025-05-06 15:57:24.400,0.4,0.62,1.0,1.0,0.5,0.63,1.0,1.0,0.43,0.86,0.53,0.0,0.48,0.84,0.61,0.0,-1
2025-05-06 15:57:24.463,0.4,0.62,1.0,1.0,0.5,0.63,1.0,1.0,0.43,0.85,0.58,0.0,0.48,0.83,0.64,0.0,-1
2025-05-06 15:57:24.529,0.4,0.62,1.0,1.0,0.5,0.62,1.0,1.0,0.44,0.84,0.6,0.0,0.48,0.83,0.64,0.0,-1
2025-05-06 15:57:24.604,0.4,0.61,1.0,1.0,0.5,0.62,1.0,1.0,0.45,0.84,0.64,0.0,0.48,0.83,0.65,0.0,-1
2025-05-06 15:57:24.678,0.41,0.62,1.0,1.0,0.51,0.62,1.0,1.0,0.46,0.85,0.66,0.0,0.49,0.83,0.62,0.0,-1
2025-05-06 15:57:24.755,0.41,0.62,1.0,1.0,0.52,0.62,1.0,1.0,0.47,0.85,0.68,0.0,0.52,0.79,0.57,0.0,-1
2025-05-06 15:57:24.835,0.51,0.62,1.0,1.0,0.42,0.62,1.0,1.0,0.5,0.83,0.67,0.0,0.51,0.8,0.6,0.0,-1
2025-05-06 15:57:24.906,0.52,0.62,1.0,1.0,0.41,0.62,1.0,1.0,0.48,0.83,0.66,0.0,0.49,0.8,0.61,0.0,-1
2025-05-06 15:57:24.969,0.44,0.63,1.0,1.0,0.51,0.62,1.0,1.0,0.48,0.82,0.61,0.0,0.49,0.81,0.58,0.0,-1
2025-05-06 15:57:25.053,0.42,0.64,1.0,1.0,0.52,0.64,1.0,1.0,0.47,0.83,0.57,0.0,0.49,0.83,0.56,0.0,-1
2025-05-06 15:57:25.123,0.42,0.65,1.0,1.0,0.52,0.65,1.0,1.0,0.46,0.85,0.58,0.0,0.49,0.87,0.57,0.0,-1
2025-05-06 15:57:25.201,0.42,0.66,1.0,1.0,0.51,0.65,1.0,1.0,0.46,0.85,0.57,0.0,0.48,0.86,0.56,0.0,-1
2025-05-06 15:57:25.271,0.42,0.66,1.0,1.0,0.51,0.65,1.0,1.0,0.46,0.88,0.57,0.0,0.48,0.89,0.55,0.0,-1
2025-05-06 15:57:25.341,0.42,0.66,1.0,1.0,0.52,0.65,1.0,1.0,0.44,0.87,0.61,0.0,0.48,0.87,0.59,0.0,-1
2025-05-06 15:57:25.404,0.43,0.66,1.0,1.0,0.53,0.66,1.0,1.0,0.45,0.86,0.6,0.0,0.48,0.86,0.61,0.0,-1
2025-05-06 15:57:25.490,0.43,0.65,1.0,1.0,0.53,0.66,1.0,1.0,0.45,0.83,0.59,0.0,0.49,0.87,0.63,0.0,-1
2025-05-06 15:57:25.557,0.43,0.65,1.0,1.0,0.53,0.65,1.0,1.0,0.45,0.82,0.58,0.0,0.48,0.86,0.66,0.0,-1
2025-05-06 15:57:25.641,0.51,0.63,1.0,1.0,0.43,0.64,1.0,1.0,0.47,0.83,0.61,0.0,0.47,0.84,0.68,0.0,-1
2025-05-06 15:57:25.718,0.44,0.62,1.0,1.0,0.52,0.63,1.0,1.0,0.46,0.81,0.63,0.0,0.49,0.84,0.71,1.0,1
2025-05-06 15:57:25.792,0.43,0.62,1.0,1.0,0.53,0.62,1.0,1.0,0.46,0.82,0.65,0.0,0.49,0.83,0.72,1.0,1
2025-05-06 15:57:25.868,0.43,0.62,1.0,1.0,0.53,0.62,1.0,1.0,0.46,0.82,0.67,0.0,0.51,0.75,0.66,0.0,-1
2025-05-06 15:57:25.941,0.43,0.62,1.0,1.0,0.53,0.62,1.0,1.0,0.47,0.82,0.7,1.0,0.51,0.76,0.61,0.0,1
2025-05-06 15:57:26.013,0.43,0.62,1.0,1.0,0.53,0.62,1.0,1.0,0.47,0.82,0.71,1.0,0.51,0.79,0.57,0.0,1
2025-05-06 15:57:26.209,0.42,0.64,1.0,1.0,0.52,0.63,1.0,1.0,0.47,0.83,0.72,1.0,0.48,0.83,0.61,0.0,1
